country code,country
162,Philippines
30,Brazil
216,United States
14,Australia
37,Canada
184,Singapore
214,UAE
1,India
94,Indonesia
148,New Zeland
215,United Kingdom
166,Doha
189,South Africa
191,Sri Lanka
208,Turkey
